,Class
0,5
1,0
2,9
3,6
4,9
5,4
6,7
7,10
8,5
9,8
10,8
11,5
12,5
13,10
14,10
15,10
16,0
17,9
18,9
19,2
20,3
21,6
22,3
23,5
24,6
25,0
26,9
27,10
28,8
29,10
30,8
31,10
32,9
33,9
34,9
35,6
36,6
37,10
38,5
39,2
40,6
41,10
42,9
43,9
44,3
45,1
46,9
47,5
48,6
49,10
50,9
51,5
52,6
53,9
54,6
55,0
56,9
57,0
58,4
59,9
60,5
61,0
62,9
63,8
64,3
65,9
66,4
67,5
68,3
69,9
70,9
71,9
72,5
73,8
74,1
75,10
76,1
77,2
78,0
79,5
80,5
81,5
82,5
83,3
84,5
85,10
86,10
87,10
88,9
89,9
90,6
91,5
92,0
93,6
94,0
95,10
96,9
97,6
98,9
99,10
100,9
101,2
102,0
103,9
104,4
105,3
106,5
107,9
108,3
109,9
110,0
111,5
112,7
113,10
114,1
115,0
116,0
117,5
118,6
119,8
120,6
121,9
122,0
123,10
124,6
125,7
126,5
127,10
128,4
129,3
130,3
131,5
132,9
133,9
134,3
135,6
136,1
137,10
138,9
139,9
140,3
141,10
142,2
143,5
144,6
145,6
146,9
147,10
148,4
149,10
150,4
151,10
152,9
153,10
154,10
155,9
156,10
157,9
158,10
159,10
160,6
161,5
162,9
163,10
164,5
165,3
166,3
167,5
168,9
169,9
170,6
171,6
172,3
173,9
174,4
175,9
176,6
177,1
178,9
179,3
180,5
181,9
182,10
183,5
184,1
185,9
186,0
187,6
188,6
189,10
190,3
191,10
192,6
193,3
194,5
195,9
196,8
197,9
198,5
199,9
200,9
201,9
202,0
203,6
204,10
205,2
206,10
207,2
208,9
209,5
210,6
211,10
212,9
213,10
214,10
215,7
216,6
217,9
218,3
219,10
220,1
221,3
222,10
223,6
224,9
225,6
226,0
227,9
228,0
229,10
230,6
231,10
232,10
233,1
234,6
235,10
236,4
237,10
238,3
239,4
240,5
241,9
242,6
243,9
244,9
245,9
246,9
247,3
248,3
249,0
250,10
251,10
252,10
253,5
254,3
255,9
256,5
257,4
258,9
259,9
260,3
261,4
262,9
263,9
264,6
265,5
266,1
267,5
268,5
269,10
270,1
271,9
272,4
273,3
274,9
275,9
276,1
277,9
278,5
279,4
280,3
281,10
282,9
283,6
284,9
285,9
286,4
287,9
288,1
289,6
290,10
291,3
292,7
293,5
294,10
295,9
296,9
297,9
298,9
299,9
300,6
301,5
302,2
303,6
304,10
305,9
306,5
307,6
308,8
309,10
310,3
311,8
312,10
313,5
314,9
315,0
316,8
317,7
318,2
319,6
320,9
321,8
322,10
323,6
324,4
325,10
326,6
327,9
328,6
329,8
330,5
331,6
332,6
333,5
334,5
335,5
336,9
337,2
338,3
339,10
340,3
341,9
342,9
343,9
344,10
345,2
346,6
347,6
348,9
349,10
350,8
351,4
352,8
353,6
354,3
355,9
356,8
357,3
358,8
359,5
360,10
361,5
362,7
363,10
364,7
365,5
366,8
367,5
368,5
369,0
370,10
371,6
372,6
373,9
374,5
375,6
376,10
377,1
378,3
379,5
380,6
381,6
382,3
383,9
384,2
385,9
386,9
387,9
388,0
389,10
390,0
391,10
392,9
393,9
394,5
395,7
396,5
397,5
398,4
399,10
400,5
401,3
402,9
403,9
404,3
405,3
406,3
407,5
408,9
409,5
410,10
411,5
412,0
413,5
414,9
415,5
416,4
417,0
418,6
419,9
