,Class
0,9
1,10
2,9
3,5
4,4
5,9
6,9
7,5
8,8
9,9
10,5
11,6
12,9
13,9
14,9
15,9
16,6
17,5
18,10
19,10
20,4
21,9
22,0
23,4
24,4
25,9
26,10
27,10
28,5
29,6
30,6
31,3
32,9
33,5
34,6
35,1
36,9
37,3
38,6
39,5
40,0
41,10
42,9
43,6
44,0
45,9
46,4
47,6
48,9
49,1
50,9
51,4
52,9
53,9
54,9
55,9
56,5
57,9
58,10
59,9
60,0
61,5
62,6
63,5
64,9
65,10
66,6
67,1
68,6
69,5
70,10
71,3
72,1
73,10
74,9
75,10
76,5
77,9
78,5
79,0
80,3
81,8
82,8
83,6
84,10
85,5
86,10
87,9
88,8
89,5
90,10
91,3
92,3
93,8
94,8
95,5
96,9
97,0
98,6
99,3
100,7
101,5
102,10
103,6
104,4
105,6
106,6
107,3
108,7
109,4
110,9
111,10
112,9
113,0
114,6
115,10
116,10
117,5
118,10
119,6
120,5
121,8
122,9
123,4
124,2
125,3
126,3
127,9
128,3
129,7
130,7
131,6
132,7
133,9
134,10
135,0
136,3
137,9
138,3
139,10
140,3
141,9
142,8
143,3
144,5
145,10
146,0
147,6
148,10
149,5
150,3
151,4
152,10
153,10
154,10
155,9
156,10
157,10
158,9
159,6
160,5
161,0
162,1
163,5
164,10
165,5
166,10
167,9
168,6
169,9
170,10
171,9
172,10
173,9
174,0
175,5
176,6
177,9
178,10
179,10
180,6
181,10
182,6
183,10
184,4
185,4
186,8
187,5
188,9
189,6
190,10
191,9
192,0
193,9
194,2
195,3
196,3
197,9
198,9
199,9
200,9
201,9
202,6
203,8
204,5
205,5
206,3
207,9
208,6
209,9
210,9
211,10
212,5
213,5
214,8
215,7
216,5
217,10
218,0
219,0
220,9
221,6
222,6
223,10
224,6
225,10
226,9
227,5
228,5
229,3
230,6
231,5
232,5
233,7
234,9
235,10
236,6
237,1
238,10
239,4
240,2
241,9
242,2
243,5
244,10
245,5
246,6
247,8
248,5
249,9
250,6
251,5
252,5
253,3
254,9
255,9
256,8
257,5
258,10
259,0
260,5
261,10
262,3
263,4
264,6
265,5
266,9
267,9
268,8
269,9
270,0
271,9
272,2
273,10
274,9
275,1
276,9
277,9
278,10
279,6
280,0
281,10
282,9
283,9
284,3
285,10
286,2
287,10
288,9
289,8
290,9
291,9
292,5
293,9
294,7
295,10
296,10
297,0
298,0
299,9
300,10
301,6
302,9
303,9
304,9
305,10
306,9
307,3
308,10
309,5
310,6
311,3
312,5
313,3
314,6
315,1
316,10
317,1
318,1
319,9
320,9
321,5
322,4
323,8
324,10
325,3
326,1
327,5
328,9
329,10
330,9
331,1
332,0
333,6
334,9
335,0
336,6
337,10
338,3
339,3
340,4
341,10
342,5
343,3
344,0
345,2
346,5
347,3
348,2
349,9
350,9
351,3
352,9
353,6
354,10
355,6
356,9
357,0
358,10
359,3
360,9
361,2
362,6
363,9
364,1
365,1
366,5
367,6
368,3
369,5
370,3
371,7
372,0
373,6
374,9
375,2
376,5
377,5
378,9
379,6
380,8
381,10
382,8
383,9
384,4
385,5
386,6
387,10
388,9
389,5
390,6
391,3
392,0
393,4
394,9
395,3
396,2
397,9
398,9
399,10
400,10
401,9
402,6
403,2
404,10
405,9
406,5
407,5
408,6
409,6
410,5
411,5
412,4
413,6
414,3
415,5
416,9
417,5
418,3
419,9
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,6
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,7
890,7
891,7
892,7
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,8
981,8
982,8
983,8
984,8
985,8
986,8
987,8
988,8
989,8
990,8
991,8
992,8
993,8
994,8
995,8
996,8
997,8
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,8
1038,8
1039,8
1040,8
1041,8
1042,8
1043,8
1044,8
1045,8
1046,8
1047,8
1048,8
1049,8
1050,8
1051,8
1052,8
1053,8
1054,8
1055,8
1056,8
1057,8
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,8
1065,10
1066,10
1067,10
1068,10
1069,10
1070,10
1071,10
1072,10
1073,10
1074,10
1075,10
1076,10
1077,10
1078,10
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,10
1087,10
1088,10
1089,10
1090,10
1091,10
1092,10
