,Class
0,9
1,10
2,9
3,5
4,4
5,9
6,9
7,5
8,8
9,9
10,5
11,6
12,9
13,9
14,9
15,9
16,6
17,5
18,10
19,10
20,4
21,9
22,0
23,4
24,4
25,9
26,10
27,10
28,5
29,6
30,6
31,3
32,9
33,5
34,6
35,1
36,9
37,3
38,6
39,5
40,0
41,10
42,9
43,6
44,0
45,9
46,4
47,6
48,9
49,1
50,9
51,4
52,9
53,9
54,9
55,9
56,5
57,9
58,10
59,9
60,0
61,5
62,6
63,5
64,9
65,10
66,6
67,1
68,6
69,5
70,10
71,3
72,1
73,10
74,9
75,10
76,5
77,9
78,5
79,0
80,3
81,8
82,8
83,6
84,10
85,5
86,10
87,9
88,8
89,5
90,10
91,3
92,3
93,8
94,8
95,5
96,9
97,0
98,6
99,3
100,7
101,5
102,10
103,6
104,4
105,6
106,6
107,3
108,7
109,4
110,9
111,10
112,9
113,0
114,6
115,10
116,10
117,5
118,10
119,6
120,5
121,8
122,9
123,4
124,2
125,3
126,3
127,9
128,3
129,7
130,7
131,6
132,7
133,9
134,10
135,0
136,3
137,9
138,3
139,10
140,3
141,9
142,8
143,3
144,5
145,10
146,0
147,6
148,10
149,5
150,3
151,4
152,10
153,10
154,10
155,9
156,10
157,10
158,9
159,6
160,5
161,0
162,1
163,5
164,10
165,5
166,10
167,9
168,6
169,9
170,10
171,9
172,10
173,9
174,0
175,5
176,6
177,9
178,10
179,10
180,6
181,6
182,10
183,4
184,4
185,8
186,5
187,9
188,6
189,10
190,9
191,0
192,9
193,2
194,3
195,3
196,9
197,9
198,9
199,9
200,6
201,8
202,5
203,5
204,3
205,9
206,6
207,9
208,9
209,10
210,5
211,5
212,8
213,7
214,5
215,10
216,0
217,0
218,9
219,6
220,6
221,10
222,6
223,10
224,9
225,5
226,5
227,3
228,6
229,5
230,5
231,7
232,9
233,10
234,6
235,1
236,10
237,4
238,2
239,9
240,2
241,5
242,10
243,5
244,6
245,8
246,5
247,9
248,6
249,5
250,5
251,3
252,9
253,9
254,8
255,5
256,10
257,0
258,5
259,10
260,3
261,4
262,6
263,5
264,9
265,9
266,8
267,9
268,0
269,9
270,2
271,10
272,9
273,1
274,9
275,9
276,10
277,6
278,0
279,10
280,9
281,9
282,3
283,10
284,2
285,10
286,9
287,8
288,9
289,5
290,9
291,7
292,10
293,10
294,0
295,0
296,9
297,10
298,6
299,9
300,9
301,9
302,10
303,9
304,3
305,10
306,5
307,3
308,5
309,3
310,6
311,1
312,10
313,1
314,1
315,9
316,9
317,5
318,4
319,8
320,10
321,3
322,1
323,5
324,9
325,10
326,9
327,1
328,0
329,6
330,9
331,0
332,6
333,10
334,3
335,3
336,4
337,10
338,5
339,3
340,0
341,2
342,5
343,3
344,2
345,9
346,9
347,3
348,9
349,6
350,10
351,6
352,9
353,0
354,10
355,3
356,9
357,2
358,6
359,9
360,1
361,1
362,5
363,6
364,3
365,5
366,3
367,7
368,0
369,6
370,9
371,2
372,5
373,5
374,9
375,6
376,8
377,10
378,8
379,9
380,4
381,5
382,6
383,10
384,9
385,5
386,6
387,3
388,0
389,4
390,9
391,3
392,2
393,9
394,9
395,10
396,10
397,9
398,6
399,2
400,10
401,9
402,5
403,5
404,6
405,6
406,5
407,5
408,4
409,6
410,3
411,5
412,9
413,5
414,3
415,9
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,5
808,5
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,6
846,6
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,6
890,6
891,7
892,7
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,8
983,8
984,8
985,8
986,8
987,8
988,8
989,8
990,8
991,8
992,8
993,8
994,8
995,8
996,8
997,8
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,8
1038,8
1039,8
1040,8
1041,8
1042,8
1043,8
1044,8
1045,8
1046,8
1047,8
1048,8
1049,8
1050,8
1051,8
1052,8
1053,8
1054,8
1055,8
1056,8
1057,8
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,10
1065,10
1066,10
1067,10
1068,10
1069,10
1070,10
1071,10
1072,10
1073,10
1074,10
1075,10
1076,10
1077,10
1078,10
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,10
1087,10
1088,10
1089,10
1090,10
1091,10
1092,10
